gradient,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
None,5,2.0,0.0001,True,2.762422118487834,0.06311872010534596,0.05609600281897445,0.4922001361846924,4620,205,210
Grad,5,2.0,0.0001,True,2.762422118487834,0.06311872010365582,0.056096131003532654,0.1426990032196045,210,204,210
None,5,2.0,0.0005,True,1.586713564372979,0.08624471197310639,0.08345155966246787,0.30567097663879395,2860,127,130
Grad,5,2.0,0.0005,True,1.586713564372979,0.086244712020462,0.08345195630429193,0.08906698226928711,131,128,131
None,5,2.0,0.001,True,2.5926774103629207,0.11852585047377753,0.10350862942630187,0.32070183753967285,3014,123,137
Grad,5,2.0,0.001,True,2.5926774103629207,0.1185258315936254,0.10350739815960827,0.0974280834197998,143,131,143
None,5,5.0,1e-05,False,1.3547414735786836,0.06931174157300135,0.0870286327592611,0.8276770114898682,7822,256,355
Grad,5,5.0,1e-05,True,1.3547414735786836,0.06931174142790218,0.08702951257349104,0.21435117721557617,314,289,314
None,5,5.0,5e-05,True,2.046905841349954,0.056499997159005465,0.04580784271166871,0.8050830364227295,7348,293,334
Grad,5,5.0,5e-05,True,2.046905841349954,0.05649999715124311,0.04580805085601054,0.23604297637939453,338,302,338
None,5,5.0,0.0001,True,5.090590967783988,0.06348846155626892,0.05193129957834129,1.008094072341919,9372,383,426
Grad,5,5.0,0.0001,True,5.090590967783988,0.06348846155287419,0.05193126543389523,0.26021766662597656,387,345,387
None,5,5.0,0.0005,True,3.864031983662229,0.08843816432273349,0.06713591835665825,0.2944672107696533,2750,117,125
Grad,5,5.0,0.0005,True,3.864031983662229,0.08843816431537835,0.0671361896930047,0.0908811092376709,133,124,133
None,5,5.0,0.001,True,5.651425081729075,0.11660418225401702,0.12189757965652652,0.35793614387512207,3322,134,151
Grad,5,5.0,0.001,True,5.651425081729075,0.11660418223233093,0.1218974844551136,0.10095500946044922,150,136,150
None,10,0.2,1e-05,True,1.7198468630505552,0.02230241253290709,0.022817037152404837,18.1196448802948,136920,3105,3260
Grad,10,0.2,1e-05,True,1.7198468630505552,0.02340099741101424,0.023242740704968182,1.8345279693603516,2046,1946,2046
None,10,0.2,5e-05,True,1.7961414369836233,0.06580075402025748,0.07337319914979742,5.620942115783691,41664,960,992
Grad,10,0.2,5e-05,True,1.7961414369836233,0.06598841831349048,0.0736343433863409,0.8678419589996338,966,931,966
None,10,0.2,0.0001,True,1.4591368174114085,0.0957530838723738,0.10007143966909215,3.6004421710968018,27510,632,655
Grad,10,0.2,0.0001,True,1.4591368174114085,0.09575199502251155,0.10007606086845802,0.6011009216308594,673,648,673
None,10,0.2,0.0005,True,1.9249562731033178,0.19926599345780413,0.18708039145209104,1.5995347499847412,12180,280,290
Grad,10,0.2,0.0005,True,1.9249562731033178,0.19926601757898876,0.18707802813841995,0.2624959945678711,294,283,294
None,10,0.2,0.001,True,3.6457239996386774,0.28013293064034467,0.2645568638412695,0.9033799171447754,6888,157,164
Grad,10,0.2,0.001,True,3.6457239996386774,0.2801329320988027,0.2645575880935823,0.14966869354248047,165,160,165
None,10,0.4,1e-05,True,3.266790064522444,0.018732928656658737,0.0300951410453108,6.070688009262085,46200,1055,1100
Grad,10,0.4,1e-05,True,3.266790064522444,0.018732811868591985,0.030098142327047876,0.8959050178527832,1001,956,1001
None,10,0.4,5e-05,True,0.8663690823833443,0.03710948013011754,0.04297765440036973,9.682481288909912,73500,1689,1750
Grad,10,0.4,5e-05,True,0.8663690823833443,0.03707558666028837,0.042457720695124296,1.3906700611114502,1527,1469,1527
None,10,0.4,0.0001,True,3.8087374888035788,0.05684726879869616,0.06121584292130869,7.37786602973938,56028,1269,1334
Grad,10,0.4,0.0001,True,3.8087374888035788,0.056847436817959944,0.06121649353139109,1.1576452255249023,1206,1160,1206
None,10,0.4,0.0005,True,0.9785240566978559,0.13713263364469633,0.1296997078379832,2.266342878341675,16590,381,395
Grad,10,0.4,0.0005,True,0.9785240566978559,0.137132653503693,0.12970291869089468,0.36672401428222656,406,391,406
None,10,0.4,0.001,True,4.030451111562306,0.18098838019868083,0.170400689213289,1.9874849319458008,14994,346,357
Grad,10,0.4,0.001,True,4.030451111562306,0.1809883460838306,0.17041106572349277,0.3343651294708252,370,357,370
None,10,0.6,1e-05,True,2.7841048423858936,0.007046183139964749,0.007475940818615885,7.295816898345947,55062,1269,1311
Grad,10,0.6,1e-05,True,2.7841048423858936,0.007046068172978797,0.007475851053818599,1.3703210353851318,1533,1468,1533
None,10,0.6,5e-05,True,1.652180950129832,0.02955338876419645,0.034322984034233665,2.9335389137268066,22302,517,531
Grad,10,0.6,5e-05,True,1.652180950129832,0.029553568100248003,0.03433004934357721,0.5400161743164062,599,579,599
None,10,0.6,0.0001,True,2.944422492172607,0.04477692905558385,0.04720369029446164,3.1248221397399902,22848,525,544
Grad,10,0.6,0.0001,True,2.944422492172607,0.044777068693445284,0.047205084355160166,0.48000216484069824,518,505,518
None,10,0.6,0.0005,True,3.1210900444312584,0.11068800823269623,0.11121056539553792,1.791438102722168,13524,311,322
Grad,10,0.6,0.0005,True,3.1210900444312584,0.11068792601588084,0.11120913254977463,0.2850179672241211,317,307,317
None,10,0.6,0.001,True,6.216729073511883,0.1470204046674411,0.13931489138568864,1.9296646118164062,14658,339,349
Grad,10,0.6,0.001,True,6.216729073511883,0.14702052096531923,0.13931992964325648,0.3126828670501709,349,338,349
None,10,0.8,1e-05,True,2.009420895663967,0.0059253854436121045,0.006812964553479826,12.773023843765259,97272,2213,2316
Grad,10,0.8,1e-05,True,2.009420895663967,0.004970751943444999,0.005273519467367231,2.8695437908172607,3173,3013,3173
None,10,0.8,5e-05,True,3.1116749654065736,0.02497798103686872,0.038692334605334736,7.32771372795105,55608,1265,1324
Grad,10,0.8,5e-05,True,3.1116749654065736,0.02122308691788984,0.02261641320333866,0.9782238006591797,1085,1047,1085
None,10,0.8,0.0001,True,0.9559603675426438,0.035110599692409386,0.034244879430598285,6.006566047668457,41370,955,985
Grad,10,0.8,0.0001,True,0.9559603675426438,0.03511059951413987,0.03424485531581194,0.8830337524414062,932,903,932
None,10,0.8,0.0005,True,3.510847966746852,0.08123130323703012,0.0824392342187175,1.7309370040893555,12810,298,305
Grad,10,0.8,0.0005,True,3.510847966746852,0.08123128690239523,0.0824550304613515,0.2604680061340332,291,284,291
None,10,0.8,0.001,True,8.035991546308447,0.13058790590352232,0.12247747786388644,1.632681131362915,12348,289,294
Grad,10,0.8,0.001,True,8.035991546308447,0.1305878891647033,0.12247747153990848,0.2964038848876953,292,286,292
None,10,1.0,1e-05,True,3.17522115552017,0.012876970664518135,0.030133803298142837,10.633394241333008,78750,1796,1875
Grad,10,1.0,1e-05,True,3.17522115552017,0.01287689863791465,0.030151929852115428,2.2451961040496826,2114,2017,2114
None,10,1.0,5e-05,True,1.6890304468785136,0.021926593767083735,0.02865912715316387,7.664169073104858,56700,1293,1350
Grad,10,1.0,5e-05,True,1.6890304468785136,0.02192659835429433,0.028658615207900806,1.3430919647216797,1472,1412,1472
None,10,1.0,0.0001,True,4.794178797850914,0.030367323223937377,0.03560310172655922,4.298581838607788,32382,744,771
Grad,10,1.0,0.0001,True,4.794178797850914,0.03036732373938255,0.03559157870584481,0.7260630130767822,754,725,754
None,10,1.0,0.0005,True,6.219633611838801,0.07323270891903194,0.07551563191564811,2.442548990249634,17430,406,415
Grad,10,1.0,0.0005,True,6.219633611838801,0.07323267547794504,0.07551056035582596,0.3729710578918457,416,408,416
None,10,1.0,0.001,True,5.8783138577116425,0.10745752597922789,0.10692363675483453,2.490269184112549,19026,440,453
Grad,10,1.0,0.001,True,5.8783138577116425,0.10745758436855948,0.10692021912591108,0.37400007247924805,412,406,412
None,10,1.2,1e-05,False,1.7542758815789323,0.012442954381937679,0.029658145203157998,9.452959060668945,72084,1558,1716
Grad,10,1.2,1e-05,True,1.7542758815789323,0.0031472639612864788,0.0033752258811668473,4.056685209274292,4468,4265,4468
None,10,1.2,5e-05,True,3.1555315344012493,0.021851375896016385,0.02747452267236699,2.7187440395355225,20580,477,490
Grad,10,1.2,5e-05,True,3.1555315344012493,0.021851376861253678,0.02746982865181553,0.43605709075927734,485,475,485
None,10,1.2,0.0001,True,7.125764912763423,0.038952697143756154,0.0503572052226793,4.027751922607422,29652,684,706
Grad,10,1.2,0.0001,True,7.125764912763423,0.03895270171446295,0.05035745378295198,0.6386630535125732,714,682,714
None,10,1.2,0.0005,True,3.6344025308885426,0.06305466869148214,0.06833294419458101,2.0240070819854736,15456,355,368
Grad,10,1.2,0.0005,True,3.6344025308885426,0.06305471341058536,0.06833118817449323,0.32356715202331543,359,351,359
None,10,1.2,0.001,True,3.1382215522801986,0.09176659009331312,0.09153006644052639,1.2745511531829834,9744,229,232
Grad,10,1.2,0.001,True,3.1382215522801986,0.09176659087055308,0.09153165998680285,0.20770716667175293,232,229,232
None,10,2.0,1e-05,True,7.292641122033597,0.0165413355515233,0.016896606898208717,6.467804193496704,46830,1073,1115
Grad,10,2.0,1e-05,True,7.292641122033597,0.017145886209952395,0.016512837670299138,1.2801730632781982,1358,1251,1358
None,10,2.0,5e-05,True,4.487694671024723,0.015455612674047589,0.02914125215400931,4.892423868179321,37086,849,883
Grad,10,2.0,5e-05,True,4.487694671024723,0.007822973015915018,0.008602697899042725,0.7822768688201904,867,837,867
None,10,2.0,0.0001,True,3.8665606248774216,0.021521024261705518,0.030602656273280668,1.732548713684082,13188,312,314
Grad,10,2.0,0.0001,True,3.8665606248774216,0.021521043147197903,0.030602305742471903,0.2843210697174072,315,311,315
None,10,2.0,0.0005,True,1.6871080475685,0.04715463351016708,0.05578613602444289,3.263063907623291,24486,562,583
Grad,10,2.0,0.0005,True,1.6871080475685,0.047154636687910756,0.055782851386361215,0.6492741107940674,585,567,585
None,10,2.0,0.001,True,8.070059843599099,0.06845736951439023,0.0709198927619156,2.095196008682251,15750,362,375
Grad,10,2.0,0.001,True,8.070059843599099,0.06845736317924686,0.07092052429065016,0.34108686447143555,373,362,373
None,10,5.0,1e-05,True,1.587784041552329,0.020417600241562382,0.02954789499504909,2.3058559894561768,17514,402,417
Grad,10,5.0,1e-05,True,1.587784041552329,0.003181641046785931,0.004152267726884622,2.659660816192627,2954,2801,2954
None,10,5.0,5e-05,True,2.042569894200834,0.0077419818981007155,0.007821542804922556,12.861438035964966,97272,2195,2316
Grad,10,5.0,5e-05,True,2.042569894200834,0.007420381469492325,0.01140460455472678,1.9865641593933105,2130,2027,2130
None,10,5.0,0.0001,True,1.8614338197917242,0.0160467961294548,0.026246601396068294,5.404177188873291,41034,920,977
Grad,10,5.0,0.0001,True,1.8614338197917242,0.025010592509671484,0.037962536119073735,0.6257808208465576,691,661,691
None,10,5.0,0.0005,True,4.216363110408574,0.03984878854085464,0.050132840312632806,2.4362618923187256,18522,424,441
Grad,10,5.0,0.0005,True,4.216363110408574,0.038790633411268746,0.051347765251306285,0.4480733871459961,462,444,462
None,10,5.0,0.001,True,5.139753693430022,0.048995089659604474,0.06697375669451637,2.410764217376709,18102,415,431
Grad,10,5.0,0.001,True,5.139753693430022,0.0439256976285553,0.0602327784598843,0.36258411407470703,399,392,399
None,15,0.2,1e-05,True,3.2013325670430786,0.020966218952209088,0.022330320155414946,42.60143303871155,259470,4013,4185
Grad,15,0.2,1e-05,True,3.2013325670430786,0.02096451431583513,0.02231523997789547,6.090571880340576,4640,4421,4640
None,15,0.2,5e-05,True,1.2280531263389114,0.06534813090959465,0.0722058625724992,8.638256072998047,45136,712,728
Grad,15,0.2,5e-05,True,1.2280531263389114,0.06534884902886255,0.07225350387463539,0.8318777084350586,716,695,716
None,15,0.2,0.0001,True,2.9068237293613017,0.09505439248241737,0.09967014691803786,10.047791957855225,64356,998,1038
Grad,15,0.2,0.0001,True,2.9068237293613017,0.09505131298082478,0.09969052657354069,1.498250961303711,1105,1060,1105
None,15,0.2,0.0005,True,1.7931548655546912,0.20273990909579326,0.18975453275396176,3.1168220043182373,17794,281,287
Grad,15,0.2,0.0005,True,1.7931548655546912,0.20274035720343808,0.18974614275965196,0.3615560531616211,271,266,271
None,15,0.2,0.001,True,1.1612451942332291,0.2801330074180783,0.26454917697187574,1.7068560123443604,9982,159,161
Grad,15,0.2,0.001,True,1.1612451942332291,0.2801330047043942,0.26454922366049066,0.19379520416259766,161,159,161
None,15,0.4,1e-05,True,4.405582986600878,0.009648313771733422,0.010283207194192099,30.686014890670776,186744,2890,3012
Grad,15,0.4,1e-05,True,4.405582986600878,0.00991463580634634,0.010978319554740552,5.467135906219482,4482,4293,4482
None,15,0.4,5e-05,True,4.663116436692323,0.0350937810298409,0.03856593419393291,20.754820823669434,116250,1808,1875
Grad,15,0.4,5e-05,True,4.663116436692323,0.03920702601994993,0.04230706258910277,1.5226328372955322,1127,1081,1127
None,15,0.4,0.0001,True,2.84557130565652,0.05785418487021242,0.06314437541240626,7.851538181304932,44268,694,714
Grad,15,0.4,0.0001,True,2.84557130565652,0.05785327724328052,0.06314770446587517,0.8370838165283203,717,689,717
None,15,0.4,0.0005,True,2.1810607760542484,0.1370306230156782,0.12979072480151918,7.426176071166992,41168,626,664
Grad,15,0.4,0.0005,True,2.1810607760542484,0.13702846319023027,0.12969015122085908,0.9734809398651123,732,689,732
None,15,0.4,0.001,True,1.0307847178432075,0.18091942218088872,0.17039968380672427,6.022955894470215,33728,526,544
Grad,15,0.4,0.001,True,1.0307847178432075,0.1809195943436005,0.17039644807832555,0.5540399551391602,466,450,466
