gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,15,0.4,0.001,True,383.2199728913448,0.18768427177611408,0.22619647551772623,0.6908735752105712,291,276,291
Grad,5,15,0.6,1e-05,True,349.37458189779414,0.013820498007191572,0.03018991186191729,1.7989251136779785,698,671,698
Grad,5,15,0.6,5e-05,True,332.93391620920414,0.02078114197620874,0.06531032502434661,1.0246546268463135,383,376,383
Grad,5,15,0.6,0.0001,True,348.6392384881757,0.045640936619643885,0.07030224275098794,0.7943498134613037,300,296,300
Grad,5,15,0.6,0.0005,True,448.44538715393594,0.0750380100053468,0.14146688500361632,0.7250977993011475,267,264,267
Grad,5,15,0.6,0.001,True,693.8516428529979,0.12090101874159812,0.15662689532745083,0.487939453125,202,200,202
Grad,5,15,0.8,1e-05,True,455.90577776613907,0.021099537853017013,0.04064804298413607,1.8687071800231934,704,686,704
Grad,5,15,0.8,5e-05,True,326.0331634173135,0.03013571046108058,0.05065654168552987,1.304331398010254,481,472,481
Grad,5,15,0.8,0.0001,True,342.36962781160025,0.04524714433841931,0.06775218652457024,0.9288540840148926,361,356,361
Grad,5,15,0.8,0.0005,True,300.72603308714076,0.0888539149758848,0.11260116332419952,0.6626485824584961,248,246,248
Grad,5,15,0.8,0.001,True,563.3946902330938,0.12576159816177154,0.16002775355199886,0.7502016067504883,293,289,293
Grad,5,15,1.0,1e-05,True,455.2642275090019,0.02385824050378233,0.043805385364725044,2.093373107910156,841,814,841
Grad,5,15,1.0,5e-05,True,615.2541644670083,0.04417493047424349,0.0632727291603538,1.2268471240997314,503,493,503
Grad,5,15,1.0,0.0001,True,948.4520601276025,0.06870491471595871,0.09552823679516807,0.7110064506530762,291,289,291
Grad,5,15,1.0,0.0005,True,763.9924914775064,0.10852851611873919,0.13412726025324267,0.4701509952545166,189,188,189
Grad,5,15,1.0,0.001,True,306.05636225379504,0.13845050391072986,0.15433980931107993,0.5685664653778076,224,221,224
Grad,5,15,1.2,1e-05,True,673.9282251612524,0.034087427859279214,0.05418932010512021,2.511447286605835,1236,1193,1236
Grad,5,15,1.2,5e-05,True,341.88830556391525,0.06508959438626759,0.08952762745851642,0.7929468154907227,424,418,424
