gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,5,0.2,1e-05,True,341.4385047552719,0.9756538616303267,1.2990729985477525,0.27594528198242185,275,188,275
Grad,5,5,0.2,5e-05,True,361.77067714898516,0.9572850384188352,1.237922334572148,0.2806366443634033,274,197,274
Grad,5,5,0.2,0.0001,True,341.0874322863,0.8915691410078617,1.1778646353733258,0.1042405128479004,94,82,94
Grad,5,5,0.2,0.0005,True,345.5901193820513,1.098818342186488,1.1838009207831122,0.17869853973388672,155,133,155
Grad,5,5,0.2,0.001,True,383.3975895838408,0.971827001922232,1.0808785832939685,0.11795988082885742,108,86,108
Grad,5,5,0.4,1e-05,True,396.9551510089035,0.46363248358838616,0.6734346676721092,0.15568032264709472,155,125,155
Grad,5,5,0.4,5e-05,True,348.65475345425506,0.753575446372793,0.7750965104870323,0.13647308349609374,129,111,129
Grad,5,5,0.4,0.0001,True,331.8987998858339,0.48882308229323773,0.6716034644965293,0.1561133861541748,148,114,148
Grad,5,5,0.4,0.0005,True,357.3658168213491,0.4006466631450908,0.5680652777882299,0.07975735664367675,77,66,77
Grad,5,5,0.4,0.001,True,354.9034003032722,0.7588430638199336,0.7904323391007834,0.046827840805053714,68,65,68
Grad,5,5,0.6,1e-05,True,351.7150927652998,0.19521047118254947,0.25186562439455534,0.24335780143737792,234,185,234
Grad,5,5,0.6,5e-05,True,364.88206436843586,0.2634111737044079,0.35171165502507673,0.17853283882141113,168,143,168
Grad,5,5,0.6,0.0001,True,343.45722809501257,0.15496260387533628,0.24526384377960148,0.1171532154083252,121,108,121
Grad,5,5,0.6,0.0005,True,439.78191510111776,0.19551095802819496,0.25626116992962006,0.14531283378601073,130,108,130
Grad,5,5,0.6,0.001,True,445.67502636758894,0.17108316154843525,0.2627413390067496,0.10632047653198243,94,85,94
Grad,5,5,0.8,1e-05,True,288.9938666607049,0.6879680839858203,0.7004965803265348,0.26053438186645506,220,203,220
Grad,5,5,0.8,5e-05,True,364.2583970732324,0.1009945976904304,0.13412200693646617,0.14651808738708497,164,144,164
Grad,5,5,0.8,0.0001,True,264.0920479114507,0.1028471584771506,0.13813442691120587,0.11082820892333985,94,92,94
Grad,5,5,0.8,0.0005,True,460.2456600553465,0.28712297119137126,0.2976566901277196,0.16061978340148925,141,126,141
Grad,5,5,0.8,0.001,True,296.54583716896866,0.11802839154602252,0.16235811391796456,0.09698996543884278,84,78,84
Grad,5,5,1.0,1e-05,True,438.3783419177275,0.0849951374563932,0.09874227929995599,0.28889737129211424,258,226,258
Grad,5,5,1.0,5e-05,True,472.0427992843939,0.09313539733550785,0.12383042317641854,0.2964134216308594,205,189,205
Grad,5,5,1.0,0.0001,True,382.7622216015621,0.09785533352614564,0.11835587423689369,0.3003704071044922,181,167,181
Grad,5,5,1.0,0.0005,True,521.2590993399241,0.26166521259370823,0.28045161988830225,0.22036418914794922,158,147,158
Grad,5,5,1.0,0.001,True,644.2542153850901,0.12582179121058684,0.16159650557122968,0.06702027320861817,94,91,94
Grad,5,5,1.2,1e-05,True,224.848066577952,0.11438648533228743,0.13536620944897343,0.2336799144744873,205,190,205
Grad,5,5,1.2,5e-05,True,284.7040274268727,0.1252311502448319,0.15325003893334743,0.22421154975891114,198,185,198
Grad,5,5,1.2,0.0001,True,408.4811617345045,0.11384319799940919,0.13222245514716566,0.12689876556396484,126,122,126
