gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,30,0.8,5e-05,True,8653.039415905974,0.0028724208678081037,0.005773245598380274,5.592548751831055,1972,1901,1972
Grad,5,30,0.8,0.0001,True,8709.734729662632,0.007004922037252029,0.01343345105433814,4.128093338012695,1434,1398,1434
Grad,5,30,0.8,0.0005,True,5620.951031390587,0.03408029881266839,0.050338075495419986,2.7458864212036134,853,825,853
Grad,5,30,0.8,0.001,True,8847.82036758723,0.06761643042256651,0.08773379879648786,1.9764665126800538,628,611,628
Grad,5,30,1.0,1e-05,True,11445.161940572245,0.00028046964053131054,0.0007081644194664746,9.45851526260376,2825,2711,2825
Grad,5,30,1.0,5e-05,True,14036.880711532196,0.0018302768318695008,0.004362379901450874,7.025087690353393,2416,2328,2416
Grad,5,30,1.0,0.0001,True,10325.51706948475,0.0046607904636860676,0.009926292269132362,5.4811500072479244,1922,1862,1922
Grad,5,30,1.0,0.0005,True,12611.647482574233,0.03177509313998032,0.04824746151549986,2.627179479598999,914,889,914
Grad,5,30,1.0,0.001,True,13516.273553397667,0.045719244941118904,0.06437315235760384,2.2834418296813963,716,697,716
Grad,5,30,1.2,1e-05,True,9976.663980812094,0.00021195753809539428,0.0005734389790424615,6.049900388717651,2022,1945,2022
Grad,5,30,1.2,5e-05,True,15527.627736772709,0.0013403073284843576,0.0030805811268571188,5.289963436126709,1847,1790,1847
Grad,5,30,1.2,0.0001,True,13731.647974103356,0.003213377179839235,0.006951447277956766,4.366224956512451,1540,1497,1540
Grad,5,30,1.2,0.0005,True,9868.87990195248,0.0293558104902774,0.04370377593927712,2.591030406951904,908,886,908
Grad,5,30,1.2,0.001,True,16505.837232866397,0.03611046806720633,0.053514087426210076,1.9997780799865723,696,682,696
Grad,5,30,1.5,1e-05,True,12435.860801340972,0.00012242522022332466,0.00034501532480923794,7.377384757995605,3632,3489,3632
Grad,5,30,1.5,5e-05,True,10342.65316343028,0.0009086066004649748,0.002077754988621193,5.22973370552063,2576,2495,2576
Grad,5,30,1.5,0.0001,True,14912.24411711732,0.002090114682294596,0.004230549004843184,3.701935386657715,1858,1804,1858
Grad,5,30,1.5,0.0005,True,12272.621022464285,0.02140776105594181,0.03692280430510707,1.8538936138153077,883,869,883
Grad,5,30,1.5,0.001,True,9269.62299428907,0.03304342659515185,0.0482820788012806,1.3779070377349854,678,667,678
Grad,5,30,1.8,1e-05,True,13257.308716630032,9.347933834105708e-05,0.0003655545155465627,6.292613124847412,2985,2874,2985
Grad,5,30,1.8,5e-05,True,14535.464367758166,0.0006733734736516618,0.0017413372883799325,6.423756504058838,3011,2918,3011
Grad,5,30,1.8,0.0001,True,14898.128212483054,0.0015499305539975793,0.003720834843057654,3.4953269481658937,1722,1684,1722
Grad,5,30,1.8,0.0005,True,13471.386274981585,0.013581368127962054,0.025075232268105485,2.3543843746185305,1095,1076,1095
Grad,5,30,1.8,0.001,True,11665.164342915697,0.030873593420101614,0.04522682489836362,1.7862386226654052,745,734,745
Grad,5,25,0.2,1e-05,True,1584.7162874927683,0.0045015400953263476,0.007726786525577912,9.75550456047058,2612,2503,2612
Grad,5,25,0.2,5e-05,True,1624.5949051549794,0.031321443761509506,0.04876825768340268,4.497068643569946,1292,1233,1292
Grad,5,25,0.2,0.0001,True,979.9992614882647,0.05426489081516968,0.07336901155728862,3.2075259685516357,931,894,931
Grad,5,25,0.2,0.0005,True,1378.214832221304,0.09941051299081341,0.11712090059917128,1.0634789943695069,335,325,335
Grad,5,25,0.2,0.001,True,1325.2729942642138,0.12296278007599937,0.13525580853372693,1.092578125,330,321,330
Grad,5,25,0.4,1e-05,True,3108.695337406785,0.0015763769863644576,0.00377674334254827,8.88962140083313,2608,2498,2608
Grad,5,25,0.4,5e-05,True,3994.426569676739,0.009030824181078586,0.016712044386472537,5.689681959152222,1726,1664,1726
Grad,5,25,0.4,0.0001,True,2827.9648307785023,0.027476892962207556,0.0389023080475276,3.3559545993804933,1021,984,1021
Grad,5,25,0.4,0.0005,True,2885.314735576532,0.08047491109635149,0.09860257718428446,1.8225122451782227,506,491,506
Grad,5,25,0.4,0.001,True,2840.498510286325,0.08903648222081223,0.10634886610565468,2.18673415184021,443,433,443
Grad,5,25,0.6,1e-05,True,5903.27074371457,0.0006799398403214512,0.001569541020942106,10.77517819404602,3004,2868,3004
Grad,5,25,0.6,5e-05,True,4256.097351711265,0.004964470931859225,0.010489136382241134,4.683120632171631,1214,1173,1214
Grad,5,25,0.6,0.0001,True,3390.403689629074,0.010940263944747095,0.018577328381307497,7.219598054885864,1625,1576,1625
Grad,5,25,0.6,0.0005,True,3645.3502969657707,0.051755812644751376,0.06744156664531312,2.141281795501709,638,619,638
Grad,5,25,0.6,0.001,True,5233.504015723276,0.08133573234458621,0.09781338075050958,1.9917729377746582,590,570,590
Grad,5,25,0.8,1e-05,True,5519.191124856299,0.0004085435953230101,0.0009665338787252096,6.557458877563477,1933,1852,1933
Grad,5,25,0.8,5e-05,True,6285.517129827443,0.002997580204755618,0.0060610249714120445,5.177056932449341,1580,1527,1580
Grad,5,25,0.8,0.0001,True,5715.0782950005805,0.006462205049959828,0.012235867632358751,4.30331768989563,1316,1278,1316
Grad,5,25,0.8,0.0005,True,3821.120990835702,0.03430115590631484,0.04839124208378326,2.2274542331695555,625,614,625
Grad,5,25,0.8,0.001,True,7453.95963610024,0.06973022848909874,0.08827626466922153,2.054880380630493,623,606,623
Grad,5,25,1.0,1e-05,True,7555.8646262835555,0.00028152011438481407,0.0007194213670679328,9.860849809646606,3009,2892,3009
Grad,5,25,1.0,5e-05,True,6976.597953803153,0.0018637227313456517,0.004195121795456493,4.951426887512207,1690,1634,1690
Grad,5,25,1.0,0.0001,True,8027.443538355228,0.004238096825802928,0.00887292261034631,4.982787227630615,1710,1663,1710
Grad,5,25,1.0,0.0005,True,8001.885356690822,0.031988917991304607,0.04556768404877115,2.0583755016326903,706,691,706
Grad,5,25,1.0,0.001,True,6410.137284595499,0.039614548042876126,0.0594266363851764,1.739884042739868,594,581,594
Grad,5,25,1.2,1e-05,True,6764.455548380007,0.00020046655764051317,0.0004956882422637207,10.201492977142333,3759,3597,3759
Grad,5,25,1.2,5e-05,True,7443.827397565759,0.0013479544364678841,0.002728631184258846,5.062735271453858,2025,1957,2025
Grad,5,25,1.2,0.0001,True,11934.44437582525,0.0031263149592623656,0.00720368469196468,3.6613927841186524,1457,1418,1457
Grad,5,25,1.2,0.0005,True,6958.108792089568,0.02876167479198028,0.04373920675481128,1.7591610431671143,690,677,690
Grad,5,25,1.2,0.001,True,12076.747930773145,0.035933371871125705,0.053690567156199395,1.582441473007202,595,581,595
Grad,5,25,1.5,1e-05,True,8123.299377127615,0.00012964644361128217,0.00045701727179379796,13.512585735321045,4593,4422,4593
Grad,5,25,1.5,5e-05,True,11397.149677462661,0.0009268821075700663,0.00231606887113528,5.891287422180175,2318,2242,2318
Grad,5,25,1.5,0.0001,True,10057.855696085986,0.002158181299556814,0.0048587008867819635,4.33548674583435,1724,1672,1724
Grad,5,25,1.5,0.0005,True,9217.796263658352,0.02182274012215866,0.03563518443869797,1.9339720249176025,764,751,764
Grad,5,25,1.5,0.001,True,8069.230394889645,0.03342096036237562,0.050023588767245185,1.5943098545074463,636,626,636
Grad,5,25,1.8,1e-05,True,11293.843589695422,9.261807430352018e-05,0.00031312644778997735,9.889981985092163,3708,3577,3708
Grad,5,25,1.8,5e-05,True,13048.468279727384,0.0006923201821443488,0.0016886046575930263,7.729514074325562,3080,2972,3080
Grad,5,25,1.8,0.0001,True,13849.623171265674,0.0015943689110063885,0.003996764101484671,5.0008422374725345,2005,1949,2005
Grad,5,25,1.8,0.0005,True,10238.22353189257,0.013798636139172715,0.023997681262063218,2.1707666873931886,870,856,870
Grad,5,25,1.8,0.001,True,9396.335564518564,0.03130187291641947,0.045989377068800755,1.6530444145202636,650,641,650
Grad,5,10,0.2,1e-05,True,503.037148577272,0.010116610717488378,0.01688909655508934,3.557708978652954,2065,1975,2065
Grad,5,10,0.2,5e-05,True,513.5076375086776,0.032878448192835134,0.05065401178736671,2.231864595413208,1281,1226,1281
Grad,5,10,0.2,0.0001,True,517.4997736472326,0.05331081668478541,0.07327837109303442,1.5561162948608398,826,796,826
Grad,5,10,0.2,0.0005,True,502.0605976351707,0.09770964258410757,0.11456727845981948,0.6777283668518066,346,339,346
Grad,5,10,0.2,0.001,True,595.8489763477071,0.12296520463892761,0.13525803309578008,0.5283802509307861,236,228,236
Grad,5,10,0.4,1e-05,True,1076.1189066002719,0.009657022955810293,0.013194373554834132,2.5319048881530763,1469,1403,1469
Grad,5,10,0.4,5e-05,True,1308.8452073271667,0.01598275798080094,0.029998541074289432,1.5664082050323487,982,948,982
Grad,5,10,0.4,0.0001,True,1161.3443885451559,0.03101586091331581,0.046626567880121414,1.5202301502227784,928,889,928
Grad,5,10,0.4,0.0005,True,932.9825450351724,0.08045965159316472,0.09615469661500112,0.8809056758880616,363,353,363
Grad,5,10,0.4,0.001,True,971.4360987297686,0.09076532869144097,0.10546269495846369,0.7458264350891113,265,259,265
Grad,5,10,0.6,1e-05,True,1252.6254929773847,0.002925320840090023,0.0058189898044977125,4.095651578903198,1775,1696,1775
Grad,5,10,0.6,5e-05,True,1492.3548370161457,0.010339738488858627,0.02001177044696121,1.7522642612457275,950,914,950
Grad,5,10,0.6,0.0001,True,876.933847472992,0.020915182622170916,0.036320323287011645,1.532454776763916,664,641,664
Grad,5,10,0.6,0.0005,True,1570.6002756666746,0.05938305658397595,0.0797963544515503,1.172366189956665,550,529,550
Grad,5,10,0.6,0.001,True,1371.0436604444553,0.08151791977641973,0.09702029175054334,0.7815707683563232,377,368,377
Grad,5,10,0.8,1e-05,True,1674.7680888938403,0.001273406684528509,0.0033402913244553177,4.052086305618286,1967,1872,1967
Grad,5,10,0.8,5e-05,True,1548.44062638592,0.011928338121994491,0.019135606010406616,1.106724214553833,621,603,621
Grad,5,10,0.8,0.0001,True,1248.9616096539976,0.01878403521798947,0.0328334498101846,1.513740348815918,657,634,657
Grad,5,10,0.8,0.0005,True,2187.966016098022,0.03576803415340141,0.05314473832443269,0.8461891651153565,388,380,388
Grad,5,10,0.8,0.001,True,1315.0689261748703,0.07738485678044664,0.09365076532448734,0.7318771839141845,385,377,385
Grad,5,10,1.0,1e-05,True,1450.2963154204622,0.004546142640193077,0.00906021987079182,5.106055831909179,2738,2614,2738
Grad,5,10,1.0,5e-05,True,2221.5157657564796,0.012492517050858725,0.01951018596422297,1.5741987228393555,823,793,823
Grad,5,10,1.0,0.0001,True,1642.9680179884922,0.014887444673171196,0.020761091481052808,1.286100196838379,727,702,727
Grad,5,10,1.0,0.0005,True,1484.8183906080924,0.03344248232374109,0.04961645053230234,0.5740339279174804,328,323,328
Grad,5,10,1.0,0.001,True,2250.1113298914775,0.050607278225373406,0.07157720912601365,0.6173896312713623,350,343,350
Grad,5,10,1.2,1e-05,True,1974.9494789977387,0.002658760050355312,0.008071954710493656,3.922569417953491,1996,1901,1996
Grad,5,10,1.2,5e-05,True,1470.972485151395,0.013075560414721039,0.01792681487710058,1.4895211219787599,742,714,742
Grad,5,10,1.2,0.0001,True,2612.810817642434,0.016317558626788832,0.024630624209075795,1.1172600269317627,644,621,644
Grad,5,10,1.2,0.0005,True,2149.8373675933585,0.031756318119135304,0.04600043230532371,0.7148910999298096,402,394,402
Grad,5,10,1.2,0.001,True,2531.905947382212,0.04006081553762989,0.060829726441777164,0.5876308917999268,340,332,340
Grad,5,10,1.5,1e-05,True,1129.652266095067,0.0055403031283132575,0.010700592427935128,2.131216621398926,1251,1193,1251
Grad,5,10,1.5,5e-05,True,2400.6952879923397,0.008406953686080607,0.015333988964920803,1.37705397605896,691,668,691
Grad,5,10,1.5,0.0001,True,1678.7372901692781,0.011341295117529624,0.016917983595690887,1.2669503211975097,563,544,563
Grad,5,10,1.5,0.0005,True,2619.258932593594,0.02840083521421925,0.043156302792251224,0.6738614559173584,396,385,396
Grad,5,10,1.5,0.001,True,1909.4832288432942,0.03628205549526387,0.05691513235243114,1.4366334438323975,408,396,408
Grad,5,10,1.8,1e-05,True,2514.1596307063137,0.0028354682613393857,0.004670372580985819,5.123991346359253,2598,2478,2598
Grad,5,10,1.8,5e-05,True,3786.411903107323,0.0024022903603570806,0.004894283029565316,4.116391229629516,1830,1741,1830
Grad,5,10,1.8,0.0001,True,2659.580774711298,0.008788947832204672,0.014096305139400958,1.6838618278503419,950,912,950
Grad,5,10,1.8,0.0005,True,2759.3399910878716,0.03207387822931357,0.04976414274612906,0.5676379680633545,330,322,330
Grad,5,10,1.8,0.001,True,2619.1978380199275,0.03353666682941912,0.048080179841860006,0.623634672164917,364,355,364
Grad,5,5,0.2,1e-05,True,432.5893762934928,0.04674394476195451,0.059914125374590885,0.724189567565918,575,540,575
Grad,5,5,0.2,5e-05,True,398.4805486217008,0.04728147805786056,0.06546362405698128,0.49067344665527346,396,376,396
Grad,5,5,0.2,0.0001,True,419.8791308812351,0.07525402119204336,0.0951520626078177,0.389729642868042,316,304,316
Grad,5,5,0.2,0.0005,True,430.24110966713675,0.09770908302715045,0.11456691295165537,0.34197421073913575,258,249,258
Grad,5,5,0.2,0.001,True,402.707129340091,0.12296315980923973,0.1352550553725824,0.24505677223205566,189,179,189
Grad,5,5,0.4,1e-05,True,496.8740936274627,0.04743279922426697,0.07047651831641463,0.5743363857269287,426,401,426
Grad,5,5,0.4,5e-05,True,592.6631313021396,0.05984196741291672,0.08012262354894044,0.5303929328918457,383,364,383
Grad,5,5,0.4,0.0001,True,454.0065376280506,0.06189249440545672,0.07515818585050851,0.35664639472961424,263,252,263
Grad,5,5,0.4,0.0005,True,536.6223750960651,0.08537023540464106,0.0976111047896476,0.2908989429473877,197,190,197
Grad,5,5,0.4,0.001,True,626.251241308236,0.09127785830185842,0.1082444200388549,0.18258790969848632,137,135,137
Grad,5,5,0.6,1e-05,True,663.0401944215068,0.04536619671495175,0.05981108725099471,0.6707554817199707,535,500,535
